ID,TL,TL_Desc,HS6,HS6_Desc,Sector_Code,Base_Rate,Base_Rate_Alt,Final_Year,TLs_Per_6_Digit,Staging_Basket,TRQ_Quota,TRQ_Note,Tariff_Eliminated,Product_Type,Pending_Data,Ag_ID,PartnerName,ReporterName,StagingBasket,StagingBasketId,Num_MAR_Columns,PartnerStartYear,ReporterStartYear,PartnerAgreementName,ReporterAgreementName,PartnerAgreementApproved,ReporterAgreementApproved,Rule_Text,Link_Text,Link_Url,QuotaName,ProductType,Y2004,Alt_2004,Y2005,Alt_2005,Y2006,Alt_2006,Y2007,Alt_2007,Y2008,Alt_2008,Y2009,Alt_2009,Y2010,Alt_2010,Y2011,Alt_2011,Y2012,Alt_2012,Y2013,Alt_2013,Y2014,Alt_2014,Y2015,Alt_2015,Y2016,Alt_2016,Y2017,Alt_2017,Y2018,Alt_2018,Y2019,Alt_2019,Y2020,Alt_2020,Y2021,Alt_2021,Y2022,Alt_2022,Y2023,Alt_2023,Y2024,Alt_2024,Y2025,Alt_2025,Y2026,Alt_2026,Y2027,Alt_2027,Y2028,Alt_2028,Y2029,Alt_2029,Y2030,Alt_2030,Y2031,Alt_2031,Y2032,Alt_2032,Y2033,Alt_2033,Y2034,Alt_2034,Y2035,Alt_2035,Y2036,Alt_2036,Y2037,Alt_2037,Y2038,Alt_2038,Y2039,Alt_2039,Y2040,Alt_2040,Y2041,Alt_2041
439799,1061200,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)",10612,"LIVE WHALES, DOLPHINS,PORPOISES,MANATEES & DUGONGS                         ",15,0,,2005,1,6,,,TRUE,2,FALSE,738,United States,Australia,Immediate,6,10,,2005,United States,Australia,,TRUE,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439815,1061200,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)",10612,"LIVE WHALES, DOLPHINS,PORPOISES,MANATEES & DUGONGS                         ",15,0,,2005,1,6,,,TRUE,2,FALSE,754,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439830,1061900,Other,10619,"MAMMALS, LIVE, NESOI                                                       ",15,0,,2005,1,6,,,TRUE,2,FALSE,769,United States,Australia,Immediate,6,10,,2005,United States,Australia,,TRUE,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439871,1061930,Live foxes,10619,"MAMMALS, LIVE, NESOI                                                       ",15,4.8,,2005,2,6,,,TRUE,2,FALSE,810,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439872,1061990,"Live mammals, not elsewhere specified or included",10619,"MAMMALS, LIVE, NESOI                                                       ",15,0,,2005,2,6,,,TRUE,2,FALSE,811,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439923,1062000,Live reptiles (including snakes and turtles),10620,LIVE REPTILES (INCLUDING SNAKES AND TURTLES)                               ,15,0,,2005,1,6,,,TRUE,2,FALSE,862,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439901,1062000,Reptiles (including snakes and turtles),10620,LIVE REPTILES (INCLUDING SNAKES AND TURTLES)                               ,15,0,,2005,1,6,,,TRUE,2,FALSE,840,United States,Australia,Immediate,6,10,,2005,United States,Australia,,TRUE,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439938,1063100,Birds of prey,10631,LIVE BIRDS OF PREY                                                         ,15,0,,2005,1,6,,,TRUE,2,FALSE,877,United States,Australia,Immediate,6,10,,2005,United States,Australia,,TRUE,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439954,1063100,Live birds of prey,10631,LIVE BIRDS OF PREY                                                         ,15,1.8,,2005,1,6,,,TRUE,2,FALSE,893,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439985,1063200,"Live psittaciforme birds (including parrots, parakeets, macaws and cockatoos)",10632,"PSITTACIFORMES ( PARROTS, MACAWS &COCKATOOS), LIVE                         ",15,1.8,,2005,1,6,,,TRUE,2,FALSE,924,Australia,United States,Immediate,6,10,2005,,Australia,United States,TRUE,,A change to heading 0101 through 0106 from any other chapter.,,,,Agricultural,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
